# rad_kpc vrot_km/s evrot vdisp_km/s evdisp sigmagas_msun/pc2 esigma vcirc_km/s evcirc
0.34   11.00   1.93   12.09   1.20   9.57   1.09   11.14   1.91
1.03   20.56   1.78   12.95   1.50   7.96   0.89   21.03   1.76
1.72   24.01   1.84   13.31   1.44   6.76   0.69   25.25   1.83
2.41   33.55   1.75   12.79   1.26   6.10   0.63   35.59   1.72
3.10   38.80   1.92   12.10   1.41   4.70   0.48   41.98   1.84
3.78   46.13   1.56   11.13   1.25   3.36   0.35   50.22   1.58
4.47   49.70   2.02   11.22   1.64   2.64   0.28   54.56   2.11
5.16   50.94   1.98   11.04   1.85   0.92   0.10   56.21   2.31
