# rad_kpc vrot_km/s evrot vdisp_km/s evdisp sigmagas_msun/pc2 esigma vcirc_km/s evcirc
0.07   11.72   4.18   12.23   2.46   23.50   2.40   12.36   4.65
0.22   14.22   2.37   11.82   1.26   22.18   2.24   15.83   2.17
0.37   17.95   3.45   11.41   1.43   18.85   1.90   20.12   3.10
0.52   21.92   3.42   10.81   1.74   14.84   1.50   24.49   3.09
0.66   26.49   3.14   10.65   1.74   11.38   1.15   29.36   2.86
0.81   28.24   2.55   10.85   1.65   8.12   0.82   31.69   2.32
0.96   32.10   2.94   11.13   1.49   5.73   0.58   35.91   2.69
1.10   34.59   4.02   12.25   1.96   4.06   0.41   38.95   3.63
1.25   35.88   4.78   12.60   2.91   2.74   0.28   41.03   4.26
1.40   36.29   5.43   12.22   2.60   1.84   0.19   42.51   4.78
1.55   35.60   6.83   12.26   2.98   0.96   0.10   43.31   5.89
