# rad_kpc vrot_km/s evrot vdisp_km/s evdisp sigmagas_msun/pc2 esigma vcirc_km/s evcirc
0.56   14.43   1.48   9.67   1.35   6.73   0.68   14.45   1.47
1.68   23.46   1.51   11.06   1.25   6.52   0.66   23.56   1.51
2.81   31.31   1.84   11.78   1.31   5.82   0.59   31.58   1.83
3.93   41.00   2.23   12.24   1.61   5.47   0.56   41.59   2.21
5.05   49.02   2.20   11.15   1.66   4.60   0.47   50.18   2.16
6.17   54.58   2.09   11.45   1.25   3.38   0.35   56.62   2.05
7.30   59.16   1.80   11.55   1.17   2.27   0.23   62.19   1.78
8.42   61.19   1.92   11.24   1.24   1.49   0.15   65.14   1.92
9.54   62.87   2.94   10.61   2.03   1.00   0.11   67.30   2.89
10.66   64.28   4.34   10.08   3.59   0.67   0.08   68.71   4.21
11.78   66.36   5.79   9.56   4.97   0.48   0.06   70.37   5.65
12.91   65.28   6.27   4.69   7.00   0.30   0.03   68.70   6.24
