# rad_kpc vrot_km/s evrot vdisp_km/s evdisp sigmagas_msun/pc2 esigma vcirc_km/s evcirc
0.14   26.24   1.99   9.82   1.34   14.21   1.46   26.44   1.98
0.43   31.20   1.84   10.22   1.33   11.32   1.15   31.75   1.81
0.71   36.44   2.01   10.95   1.21   9.39   0.95   37.27   1.97
0.99   40.85   2.20   10.94   1.38   8.23   0.84   41.93   2.15
1.28   44.91   2.15   9.10   1.04   6.37   0.65   46.25   2.10
1.56   45.51   2.38   9.17   1.34   4.38   0.45   47.21   2.30
1.84   45.66   2.55   10.25   1.71   2.99   0.30   47.75   2.45
2.13   45.17   2.60   10.76   1.71   2.11   0.21   47.72   2.49
2.41   46.63   3.53   11.60   2.28   1.56   0.16   49.57   3.36
2.69   48.71   3.92   11.92   2.55   1.11   0.12   52.03   3.73
2.98   51.77   5.41   11.82   3.48   0.82   0.09   55.44   5.12
