# rad_kpc vrot_km/s evrot vdisp_km/s evdisp sigmagas_msun/pc2 esigma vcirc_km/s evcirc
0.32   18.37   2.08   11.92   1.36   8.90   0.90   18.40   2.07
0.95   26.30   3.18   13.26   2.26   8.38   0.85   26.45   3.17
1.59   37.78   2.49   13.15   1.81   7.00   0.72   38.19   2.47
2.23   48.67   2.61   13.53   1.93   5.60   0.59   49.60   2.59
2.86   55.51   3.20   12.87   2.26   4.41   0.48   57.40   3.14
3.50   63.46   3.71   12.43   2.89   3.35   0.37   66.54   3.59
4.13   69.71   4.00   12.08   3.11   2.46   0.27   73.98   3.83
4.77   75.03   3.65   12.43   3.03   1.60   0.18   80.18   3.53
5.40   78.31   3.82   11.69   3.42   1.00   0.11   83.97   3.74
6.04   81.15   4.01   12.09   3.98   0.46   0.05   86.95   4.01
6.68   82.35   4.48   11.05   4.44   0.20   0.02   88.10   4.58
7.31   82.10   5.58   9.68   4.94   0.05   0.01   87.65   5.80
