# rad_kpc vrot_km/s evrot vdisp_km/s evdisp sigmagas_msun/pc2 esigma vcirc_km/s evcirc
1.25   30.24   3.76   13.28   2.62   5.65   0.63   30.27   3.75
3.76   42.83   4.84   12.69   3.98   5.78   0.61   43.02   4.82
6.26   55.74   4.57   12.04   3.15   6.13   0.64   56.31   4.54
8.76   67.04   2.65   10.86   2.07   5.70   0.58   68.29   2.63
11.27   74.64   2.64   9.60   2.17   4.31   0.45   76.58   2.61
13.77   78.14   2.29   8.56   2.42   2.71   0.29   80.44   2.28
16.27   79.52   3.93   8.14   2.60   1.20   0.15   81.69   3.86
18.78   81.29   7.04   5.76   1.20   0.53   0.07   83.00   6.92
