# rad_kpc vrot_km/s evrot vdisp_km/s evdisp sigmagas_msun/pc2 esigma vcirc_km/s evcirc
0.53   14.92   1.53   10.69   0.99   6.87   0.69   14.96   1.53
1.58   22.52   1.64   12.44   1.12   6.08   0.61   22.71   1.63
2.63   31.67   1.92   12.53   1.43   5.39   0.54   32.18   1.90
3.68   38.30   2.50   11.94   1.63   4.55   0.46   39.49   2.45
4.74   44.62   2.26   11.33   1.70   3.64   0.37   46.91   2.20
5.79   52.11   2.35   10.35   1.51   2.68   0.28   55.53   2.26
6.84   58.73   2.33   11.33   1.92   1.74   0.18   63.02   2.24
7.89   62.86   2.21   10.97   2.30   1.09   0.11   67.62   2.16
8.94   64.40   2.96   12.53   2.82   0.68   0.07   69.25   2.86
10.00   66.61   4.32   11.90   4.18   0.41   0.04   71.07   4.16
11.05   66.58   4.31   7.70   3.47   0.24   0.03   70.46   4.24
12.10   65.15   4.53   5.31   2.69   0.09   0.01   68.26   4.56
