# rad_kpc vrot_km/s evrot vdisp_km/s evdisp sigmagas_msun/pc2 esigma vcirc_km/s evcirc
0.40   12.35   4.34   10.15   3.12   7.62   0.77   13.42   4.24
1.20   18.98   1.78   12.24   0.99   8.19   0.83   19.09   1.77
1.99   28.62   2.91   13.13   1.79   8.21   0.83   29.02   2.88
2.79   38.65   2.69   11.71   1.59   6.86   0.69   39.86   2.63
3.59   40.69   2.23   12.13   1.46   4.52   0.46   44.11   2.11
4.39   42.61   2.29   12.67   1.37   2.54   0.26   49.07   2.10
5.19   43.27   2.32   11.17   1.57   1.26   0.13   52.10   2.18
5.98   43.36   2.87   10.71   2.03   0.47   0.05   52.98   2.84
6.78   41.98   5.64   10.75   3.39   0.14   0.02   51.31   5.26
