# rad_kpc vrot_km/s evrot vdisp_km/s evdisp sigmagas_msun/pc2 esigma vcirc_km/s evcirc
0.41   27.83   1.78   7.95   1.20   4.80   0.48   27.85   1.78
1.23   36.94   2.40   8.88   1.76   3.87   0.39   37.15   2.39
2.05   47.59   1.78   8.97   1.24   2.44   0.25   48.66   1.78
2.87   53.71   1.97   9.04   1.22   1.21   0.12   56.38   1.94
3.69   56.48   2.40   8.95   1.86   0.47   0.05   59.93   2.34
4.51   61.04   4.38   5.43   3.13   0.14   0.01   63.79   4.23
5.33   63.94   8.11   4.03   1.12   0.08   0.01   65.36   7.96
